//Talker Proprietary Manufacturer's Code
PAAR;Proprietary (Asian American Resources)
PACE;Proprietary (Auto-Comm Engineering)
PACR;Proprietary (ACR Electronics)
PACS;Proprietary (Arco Solar)
PACT;Proprietary (Advanced Control Technology)
PAGI;Proprietary (Airguide Instrument)
PAHA;Proprietary (Autohelm of America)
PAIP;Proprietary (Aiphone)
PALD;Proprietary (Alden Electronics)
PAMR;Proprietary (AMR Systems)
PAMT;Proprietary (Airmar Technology)
PANS;Proprietary (Antenna Specialists)
PANX;Proprietary (Analytyx Electronic Systems)
PANZ;Proprietary (Anschutz of America)
PAPC;Proprietary (Apelco)
PAPN;Proprietary (American Pioneer)
PAPX;Proprietary (Amperex)
PAQC;Proprietary (Aqua-Chem)
PAQD;Proprietary (Aquadynamics)
PAQM;Proprietary (Aqua Meter Instrument)
PASH;Proprietary (Ashtech)
PASP;Proprietary (American Solar Power)
PATE;Proprietary (Aetna Engineering)
PATM;Proprietary (Atlantic Marketing)
PATR;Proprietary (Airtron)
PATV;Proprietary (Activation)
PAVN;Proprietary (Advanced Navigation)
PAWA;Proprietary (Awa New Zealand)
PBBL;Proprietary (BBL Industries)
PBBR;Proprietary (BBR and Associates)
PBDV;Proprietary (Brisson Development)
PBEC;Proprietary (Boat Electric)
PBGS;Proprietary (Barringer Geoservice)
PBGT;Proprietary (Brookes and Gatehouse)
PBHE;Proprietary (BH Electronics)
PBHR;Proprietary (Bahr Technologies)
PBLB;Proprietary (Bay Laboratories)
PBME;Proprietary (Bartel Marine Electronics)
PBNI;Proprietary (Neil Brown Instrument Systems)
PBNS;Proprietary (Bowditch Navigation Systems)
PBRM;Proprietary (Mel Barr)
PBRY;Proprietary (Byrd Industries)
PBTH;Proprietary (Benthos)
PBTK;Proprietary (Baltek)
PBTS;Proprietary (Boat Sentry)
PBXA;Proprietary (Bendix-Avalex)
PCAT;Proprietary (Catel)
PCBN;Proprietary (Cybernet Marine Products)
PCCA;Proprietary (Copal of America)
PCCC;Proprietary (Coastal Communications)
PCCL;Proprietary (Coastal Climate)
PCCM;Proprietary (Coastal Communications)
PCDC;Proprietary (Cordic)
PCEC;Proprietary (Ceco Communications)
PCHI;Proprietary (Charles Industries)
PCKM;Proprietary (Cinkel Marine Electronics Industries)
PCMA;Proprietary (Societe Nouvelle D\
PCMC;Proprietary (Coe Manufacturing)
PCME;Proprietary (Cushman Electronics)
PCMP;Proprietary (C-Map)
PCMS;Proprietary (Coastal Marine Sales)
PCMV;Proprietary (CourseMaster USA)
PCNI;Proprietary (Continental Instruments)
PCNV;Proprietary (Coastal Navigator)
PCNX;Proprietary (Cynex Manufactoring)
PCPL;Proprietary (Computrol)
PCPN;Proprietary (Compunav)
PCPS;Proprietary (Columbus Positioning)
PCPT;Proprietary (CPT)
PCRE;Proprietary (Crystal Electronics)
PCRO;Proprietary (The Caro Group)
PCRY;Proprietary (Crystek Crystals)
PCSI;Proprietary (Communication Systems Int.)
PCSM;Proprietary (Comsat Maritime Services)
PCST;Proprietary (Cast)
PCSV;Proprietary (Combined Services)
PCTA;Proprietary (Current Alternatives)
PCTB;Proprietary (Cetec Benmar)
PCTC;Proprietary (Cell-tech Communications)
PCTE;Proprietary (Castle Electronics)
PCTL;Proprietary (C-Tech)
PCWD;Proprietary (Cubic Western Data)
PCWV;Proprietary (Celwave R.F.)
PCYZ;Proprietary (cYz)
PDCC;Proprietary (Dolphin Components)
PDEB;Proprietary (Debeg GmbH)
PDFI;Proprietary (Defender Industries)
PDGC;Proprietary (Digicourse)
PDME;Proprietary (Digital Marine Electronics)
PDMI;Proprietary (Datamarine Int.)
PDNS;Proprietary (Dornier System)
PDNT;Proprietary (Del Norte Technology)
PDPS;Proprietary (Danaplus)
PDRL;Proprietary (R.L. Drake)
PDSC;Proprietary (Dynascan)
PDYN;Proprietary (Dynamote)
PDYT;Proprietary (Dytek Laboratories)
PEBC;Proprietary (Emergency Beacon)
PECT;Proprietary (Echotec)
PEEV;Proprietary (EEV)
PEFC;Proprietary (Efcom Communication Systems)
PELD;Proprietary (Electronic Devices)
PEMC;Proprietary (Electric Motion)
PEMS;Proprietary (Electro Marine Systems)
PENA;Proprietary (Energy Analysts)
PENC;Proprietary (Encron)
PEPM;Proprietary (Epsco Marine)
PEPT;Proprietary (Eastprint)
PERC;Proprietary (The Ericsson)
PESA;Proprietary (European Space Agency)
PFDN;Proprietary (Fluiddyne)
PFEC;Proprietary (Furuno Electric (??))
PFHE;Proprietary (Fish Hawk Electronics)
PFJN;Proprietary (Jon Fluke)
PFMM;Proprietary (First Mate Marine Autopilots)
PFNT;Proprietary (Franklin Net and Twine)
PFRC;Proprietary (The Fredericks)
PFTG;Proprietary (T.G. Faria)
PFUJ;Proprietary (Fujitsu Ten of America)
PFUR;Proprietary (Furuno USA)
PGAM;Proprietary (GRE America)
PGCA;Proprietary (Gulf Cellular Associates)
PGES;Proprietary (Geostar)
PGFC;Proprietary (Graphic Controls)
PGIS;Proprietary (Galax Integrated Systems)
PGLO;Proprietary (Quectel)
PGPI;Proprietary (Global Positioning Instrument)
PGRM;Proprietary (Garmin)
PGSC;Proprietary (Gold Star)
PGTO;Proprietary (Gro Electronics)
PGVE;Proprietary (Guest)
PGVT;Proprietary (Great Valley Technology)
PHAL;Proprietary (HAL Communications)
PHAR;Proprietary (Harris)
PHIG;Proprietary (Hy-Gain)
PHIT;Proprietary (Hi-Tec)
PHPK;Proprietary (Hewlett-Packard)
